city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Wilton AL,88.5,10.2,0,0,1.3,0,28.9
Faunsdale AL,100,0,0,0,0,0,0
Ariton AL,91.3,3.4,0,1.4,1,2.9,27.6
Clayhatchee AL,79.8,10.6,0,0,8.1,1.5,26.2
Level Plains AL,85.8,7.6,0,0.2,3.6,2.7,19.7
Newbern AL,70.4,16.7,0,3.7,0,9.3,24.8
Phil Campbell AL,81.6,17.5,0,0,0.8,0,29.4
Millbrook AL,87.4,9.6,0,0.7,1.9,0.4,23.9
Prattville AL,87.4,9.3,0,0.6,1.8,0.9,22.1
Wetumpka AL,88.8,5.8,0,1.8,3.1,0.6,26.3
Town Creek AL,81.6,15.7,0,0,2.7,0,31.5
Rockford AL,68.1,18.1,0,5.1,3.6,5.1,32.7
Douglas AL,82.3,12.7,0,1.1,2.3,1.5,25.8
Daleville AL,90.4,3.8,0,3.4,0,2.4,16.9
Napier Field AL,91.1,3,0,3.9,2,0,18.4
Fairview AL,83.8,13.4,0,0,2.8,0,31.8
Vredenburgh AL,65.5,0,27.3,7.3,0,0,28.7
Scottsboro AL,86.1,11.4,0,0.2,1.9,0.5,19.6
Eufaula AL,85.9,10.3,0,1.1,1.4,1.3,19.3
Warrior AL,82.6,12.8,1.2,1.6,1.8,0,30.6
Double Springs AL,79.4,12.6,0,1.7,1,5.3,16.4
Natural Bridge AL,100,0,0,0,0,0,0
North Courtland AL,83.8,16.2,0,0,0,0,28.8
Margaret AL,88.4,11,0,0,0.6,0,33.2
Killen AL,86.9,13.1,0,0,0,0,27.8
McIntosh AL,80.6,12.5,0,0,6.9,0,30.6
Muscle Shoals AL,92,4.5,0,0.3,2.1,1,20
Forkland AL,97.5,2.5,0,0,0,0,21.8
Albertville AL,84.7,12.5,0.4,0.7,1.4,0.3,19.2
Hartford AL,83.4,9.2,0,0,5.3,2.1,27.7
Gilbertown AL,66.7,30.3,0,0,3,0,33.4
Lisman AL,100,0,0,0,0,0,26.6
Coker AL,85.2,9.5,0,0,5.3,0,20.8
Jackson AL,90.1,6.3,0,1.6,1,1,16.6
Dodge City AL,88.9,8.4,0,0,1.3,1.3,25.8
Good Hope AL,81.5,10.4,0,0.5,6.3,1.2,19.9
Beaverton AL,95.8,3.1,0,0,0,1,28
Detroit AL,61.5,26.2,0,0,12.3,0,22.6
Kennedy AL,79.5,15.6,0,0.5,2.4,2,30.7
Hytop AL,85.9,10.7,1.1,0,1.7,0.6,38.1
Pisgah AL,89,8,0,0,1.3,1.7,27.2
Coffeeville AL,88.7,2.1,0,0,9.3,0,41.3
Blountsville AL,87.9,9.6,0,0.6,1.3,0.6,29.4
Locust Fork AL,90.1,8.4,0,0,1.5,0,39.1
Thomasville AL,71.6,19.7,0,1,0,7.7,21.3
Memphis AL,0,0,0,0,0,0,0
Colony AL,88.5,7.4,0,2.7,1.4,0,39.1
Hanceville AL,84,11.5,0,3.5,1,0,27.6
Holly Pond AL,94.2,5.5,0,0.3,0,0,31.3
Hollywood AL,78,21.5,0,0,0.5,0,19.5
Emelle AL,100,0,0,0,0,0,34.7
Woodville AL,88.3,2.8,0,6.9,1.2,0.8,28.4
Montevallo AL,76.1,11.2,0,8.2,1.3,3.2,22.9
Myrtlewood AL,95.7,4.3,0,0,0,0,20.2
Chatom AL,75.8,22.1,0,0,0,2.1,27.8
Millry AL,90.5,5.9,0,0,0.9,2.7,43.6
Millport AL,84,10.8,0,0,5.2,0,24.7
Sulligent AL,86.8,10.1,1.1,0.9,1.1,0,15.5
Anderson AL,83.2,16.8,0,0,0,0,28.8
Hackleburg AL,91,6.7,0,0,1.5,0.8,20.3
Carrollton AL,91.7,5.8,0,0.6,1.9,0,31
Boaz AL,81.7,13.2,0,1,3.4,0.7,20.9
Gulf Shores AL,77,9.2,0,0,11.5,2.4,24.9
Summerdale AL,83.1,11.6,0,0.8,3.6,0.8,22.8
Hammondville AL,89.3,4.4,0,0,3.9,2.4,18.8
Trinity AL,92,6.9,0,0,0.7,0.4,22.3
Slocomb AL,80.2,9.3,0.7,0,6.3,3.6,26.9
Livingston AL,78.3,6.4,0,11.4,3.9,0,17.3
Spanish Fort AL,90.8,3.7,0,1,4,0.6,28.2
Epes AL,88.9,11.1,0,0,0,0,22.9
Geiger AL,88.2,5.9,0,0,5.9,0,36.2
Pinckard AL,98.2,1.8,0,0,0,0,23.1
Greensboro AL,88.2,7.1,0,0,2.5,2.3,24.9
Union Grove AL,96.6,3.4,0,0,0,0,23.9
Riverview AL,100,0,0,0,0,0,23.8
Phenix City AL,88.2,7.5,0.1,1.1,2.2,0.8,21.8
Cherokee AL,89.6,2.6,2.6,3.5,1.7,0,25.8
Cleveland AL,91.2,6,0,2.8,0,0,32.7
Sanford AL,89.9,8.7,0,0,1.4,0,26.5
Southside AL,89.2,2.4,0,0,7.6,0.9,22.8
Dora AL,89.7,8.5,0,0,1.7,0,28.7
Selma AL,84.1,8.4,0,3.5,2.1,1.8,17.7
Paint Rock AL,80,17.1,0,0,2.9,0,36.3
Hayden AL,95.5,1.7,0,0,2.1,0.8,33.5
McMullen AL,100,0,0,0,0,0,0
Thomaston AL,95.7,2.2,0,0,0,2.2,30.8
Beatrice AL,98.4,0,0,1.6,0,0,28.7
Cedar Bluff AL,82.4,11.6,1.6,0,2.7,1.7,23.1
Union Springs AL,76.6,7.3,0,16.2,0,0,21.8
Collinsville AL,82.2,16.2,0,0.6,0.9,0,23.7
Sylacauga AL,80.9,13.3,0.8,3.3,1.8,0,22.3
Lester AL,95.9,4.1,0,0,0,0,38.9
Grove Hill AL,89.7,2.6,2.4,2.8,2.2,0.4,18.7
Headland AL,89.8,3.4,0,0.2,0.3,6.2,25.5
Dozier AL,94.7,5.3,0,0,0,0,30.7
Hodges AL,80.3,19.7,0,0,0,0,28.3
Lynn AL,87,11.4,1.1,0.5,0,0,28.2
Petrey AL,92.3,0,0,7.7,0,0,29.4
Centre AL,90.1,7.1,0,0,2.7,0,22.8
Moulton AL,87.6,8.6,0,3,0,0.8,20.6
Ridgeville AL,95.5,4.5,0,0,0,0,35.5
Cullman AL,86.5,8.8,0.1,1.1,3,0.4,22
