city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Fort Deposit AL,17.5,0,82.5,0,0,0,0,0
Toxey AL,54.6,0,31,0,0,0,0,14.4
Altoona AL,93.1,2.7,1.2,0.3,0.2,0,0,2.4
Benton AL,100,0,0,0,0,0,0,0
Mosses AL,0,0,99.7,0,0,0,0,0.3
Ohatchee AL,93.7,0.3,3.3,1.1,0,0,0,1.7
New Brockton AL,74.2,1.6,16.3,0.5,0.5,0,0.2,6.7
Madrid AL,73.2,3,19.2,3.8,0.8,0,0,0
Oakman AL,82.2,2.4,12,0,0.6,0,0,2.7
Sylvan Springs AL,94.7,0.4,4,0.3,0.6,0,0,0
Birmingham AL,22.8,3.5,71.3,0.2,0.8,0,0.2,1.2
Helena AL,77.6,2.3,13.3,0.2,2.7,0.1,0.2,3.6
Hoover AL,69.6,5.8,17.5,0.1,5.2,0,0.3,1.6
Midfield AL,10.3,4.4,83.8,0,0.1,0,0,1.3
Vestavia Hills AL,88.4,3.3,3.8,0,3.6,0,0,0.8
Andalusia AL,69.6,2.2,26.5,0,0.9,0,0,0.8
Horn Hill AL,98.9,0.8,0,0,0,0,0,0.4
Onycha AL,100,0,0,0,0,0,0,0
Red Level AL,93.4,2.1,4.5,0,0,0,0,0
Berry AL,95.2,0,4,0,0.3,0,0,0.4
Belk AL,100,0,0,0,0,0,0,0
Anniston AL,44.1,2,48.4,0,1.9,0,0.1,3.3
Atmore AL,42,0.8,52.6,2,0.3,0.5,0,1.8
Lineville AL,54.4,4,37.7,2.8,0,0,0.6,0.5
Heflin AL,88.2,0.4,8.6,0,0.3,0,0,2.5
Akron AL,22,0,78,0,0,0,0,0
Moundville AL,55.8,1.7,39.7,0.9,0.8,0,0,1.1
Guntersville AL,81.9,2.7,12.2,0.3,1.2,0,0,1.8
Pollard AL,34.1,40.4,25.5,0,0,0,0,0
Goshen AL,87.3,3,7.7,1.4,0,0.6,0,0
Bay Minette AL,53.9,2.5,41.4,0.4,0.4,0,0,1.4
Elberta AL,92.7,4.5,0.7,1,0,0,0,1.1
Orange Beach AL,96.4,1.7,0.7,0,0.2,0,0.1,0.8
Moody AL,83.4,0.5,14.1,0.1,1.4,0,0,0.6
Smiths Station AL,86.4,1.9,10.5,0.8,0,0,0.1,0.3
Kellyton AL,84.2,3.7,12.1,0,0,0,0,0
Woodstock AL,91.7,6,1.1,0.2,0,0,0,1
Valley Grande AL,72,0.3,27,0.2,0.4,0,0,0.2
Westover AL,90.7,5.8,2.6,0.1,0,0,0.4,0.4
Center Point AL,24.8,4.3,67.9,0,0.1,0,0.2,2.7
Indian Springs Village AL,91.5,1,2.9,0,2.7,0,0,1.9
Fruithurst AL,98.3,0.3,0,0,1,0,0,0.3
Bakerhill AL,56.6,0.9,42.6,0,0,0,0,0
Creola AL,83.7,0.9,10.5,1.1,0.3,0,2.9,0.7
Ashford AL,76.2,1.7,18.4,1,0.1,0,0,2.5
